Наименование;Раздел;Таблица фигур;Вид затвора;Тип присоединения;Тип привода;Диаметр DN, мм;Давление PN, кгс/см²;Материал корпуса;Цена закупки;Срок изготовления;Артикул;Картинки;Материал уплотнения
Клапан запорный мембранный футерованный полиэтиленом фланцевый ручной 15ч74п1м DN 10 PN 1,6 МПа У3, корпус чугун, класс герметичности «С» по ГОСТ 9544-2015;Клапаны запорные;15ч74п1м;-;Фланцевое;Ручной;10;16;Чугун;0;Под заказ;2000033;0.png;-
Клапан запорный мембранный футерованный полиэтиленом фланцевый ручной 15ч74п1м DN 15 PN 1,6 МПа У3, корпус чугун, класс герметичности «С» по ГОСТ 9544-2015;Клапаны запорные;15ч74п1м;-;Фланцевое;Ручной;15;16;Чугун;0;Под заказ;2000034;0.png;-
Клапан запорный мембранный футерованный полиэтиленом фланцевый ручной 15ч74п1м DN 20 PN 1,6 МПа У3, корпус чугун, класс герметичности «С» по ГОСТ 9544-2015;Клапаны запорные;15ч74п1м;-;Фланцевое;Ручной;20;16;Чугун;0;Под заказ;2000035;0.png;-
Клапан обратный подъемный фланцевый 16с10нж DN 15 PN 1,6 МПа У1, корпус ст. 25Л;Клапаны обратные;16с10нж;-;Фланцевое;-;15;16;Углеродистая сталь;0;Под заказ;3000001;0.png;-
Клапан обратный подъемный фланцевый 16с10нж DN 15 PN 1,6 МПа У1, корпус ст. 25Л;Клапаны обратные;16с10нж;-;Фланцевое;-;20;16;Углеродистая сталь;0;Под заказ;3000002;0.png;-
Клапан обратный подъемный фланцевый 16с10нж DN 15 PN 1,6 МПа У1, корпус ст. 25Л;Клапаны обратные;16с10нж;-;Фланцевое;-;25;16;Углеродистая сталь;0;Под заказ;3000003;0.png;-
Клапан обратный подъемный фланцевый 16с10нж DN 15 PN 1,6 МПа У1, корпус ст. 25Л;Клапаны обратные;16с10нж;-;Фланцевое;-;32;16;Углеродистая сталь;0;Под заказ;3000004;0.png;-
Клапан обратный подъемный фланцевый 16с10нж DN 15 PN 1,6 МПа У1, корпус ст. 25Л;Клапаны обратные;16с10нж;-;Фланцевое;-;40;16;Углеродистая сталь;0;Под заказ;3000005;0.png;-
Клапан обратный подъемный фланцевый 16с10нж DN 15 PN 1,6 МПа У1, корпус ст. 25Л;Клапаны обратные;16с10нж;-;Фланцевое;-;50;16;Углеродистая сталь;0;Под заказ;3000006;0.png;-
Клапан обратный подъемный фланцевый 16с10нж DN 15 PN 1,6 МПа У1, корпус ст. 25Л;Клапаны обратные;16с10нж;-;Фланцевое;-;65;16;Углеродистая сталь;0;Под заказ;3000007;0.png;-
Клапан обратный подъемный фланцевый 16с10нж DN 15 PN 1,6 МПа У1, корпус ст. 25Л;Клапаны обратные;16с10нж;-;Фланцевое;-;80;16;Углеродистая сталь;0;Под заказ;3000008;0.png;-
Клапан обратный подъемный фланцевый 16с10нж DN 15 PN 1,6 МПа У1, корпус ст. 25Л;Клапаны обратные;16с10нж;-;Фланцевое;-;100;16;Углеродистая сталь;0;Под заказ;3000009;0.png;-
Клапан обратный подъемный фланцевый 16с10нж DN 15 PN 1,6 МПа У1, корпус ст. 25Л;Клапаны обратные;16с10нж;-;Фланцевое;-;125;16;Углеродистая сталь;0;Под заказ;3000010;0.png;-
Клапан обратный подъемный фланцевый 16с10нж DN 15 PN 1,6 МПа У1, корпус ст. 25Л;Клапаны обратные;16с10нж;-;Фланцевое;-;150;16;Углеродистая сталь;0;Под заказ;3000011;0.png;-
